Player,Nation,Pos,Gls,Ast,MP,CrdY,CrdR,Squad
Emmanuel Agbadou,CIV,DF,1.0,0.0,16,3.0,0.0,Wolves
Mario Lemina,GAB,"MF,DF",1.0,3.0,17,4.0,0.0,Wolves
Marshall Munetsi,ZIM,"MF,FW",2.0,1.0,14,0.0,0.0,Wolves
Gonçalo Guedes,POR,"MF,FW",2.0,4.0,29,1.0,0.0,Wolves
Craig Dawson,ENG,DF,0.0,0.0,15,2.0,0.0,Wolves
Pablo Sarabia,ESP,"MF,FW",3.0,2.0,23,3.0,0.0,Wolves
Rodrigo Gomes,POR,"DF,FW",2.0,0.0,25,0.0,0.0,Wolves
Sam Johnstone,ENG,GK,0.0,0.0,7,0.0,0.0,Wolves
Hwang Hee-chan,KOR,"MF,FW",2.0,0.0,21,0.0,0.0,Wolves
Yerson Mosquera,COL,DF,0.0,0.0,5,2.0,0.0,Wolves
Tommy Doyle,ENG,MF,0.0,1.0,24,1.0,0.0,Wolves
Daniel Bentley,ENG,GK,0.0,0.0,2,0.0,0.0,Wolves
Carlos Forbs,POR,"MF,FW",0.0,0.0,10,2.0,0.0,Wolves
Pedro Lima,BRA,DF,0.0,0.0,3,0.0,0.0,Wolves
Nasser Djiga,BFA,DF,0.0,0.0,5,0.0,0.0,Wolves
Daniel Podence,POR,"MF,FW",0.0,0.0,2,0.0,0.0,Wolves
Chiquinho,POR,MF,0.0,0.0,1,0.0,0.0,Wolves
Mateus Mane,Inconnu,MF,0.0,0.0,1,0.0,0.0,Wolves
Tom King,WAL,GK,0.0,0.0,1,0.0,0.0,Wolves
Alfie Pond,ENG,DF,0.0,0.0,1,0.0,0.0,Wolves
Boubacar Traoré,MLI,MF,0.0,0.0,1,0.0,0.0,Wolves
Tawanda Chirewa,ZIM,MF,0.0,0.0,0,0.0,0.0,Wolves
Luke Cundle,ENG,MF,0.0,0.0,0,0.0,0.0,Wolves
Tom Edozie,ENG,MF,0.0,0.0,0,0.0,0.0,Wolves
Bastien Meupiyou,FRA,DF,0.0,0.0,0,0.0,0.0,Wolves
Wesley Okoduwa,ENG,FW,0.0,0.0,0,0.0,0.0,Wolves
